date,value
2020-02-26,8980.7802734375
2020-02-27,8566.48046875
2020-02-28,8567.3701171875
2020-03-02,8952.169921875
2020-03-03,8684.08984375
2020-03-04,9018.08984375
2020-03-05,8738.58984375
2020-03-06,8575.6201171875
2020-03-09,7950.68017578125
2020-03-10,8344.25
2020-03-11,7952.0498046875
2020-03-12,7201.7998046875
2020-03-13,7874.8798828125
2020-03-16,6904.58984375
2020-03-17,7334.77978515625
2020-03-18,6989.83984375
2020-03-19,7150.580078125
2020-03-20,6879.52001953125
2020-03-23,6860.669921875
2020-03-24,7417.85986328125
2020-03-25,7384.2998046875
2020-03-26,7797.5400390625
2020-03-27,7502.3798828125
2020-03-30,7774.14990234375
2020-03-31,7700.10009765625
2020-04-01,7360.580078125
2020-04-02,7487.31005859375
2020-04-03,7373.080078125
2020-04-06,7913.240234375
2020-04-07,7887.259765625
2020-04-08,8090.89990234375
2020-04-09,8153.580078125
2020-04-13,8192.419921875
2020-04-14,8515.740234375
2020-04-15,8393.1796875
2020-04-16,8532.3603515625
2020-04-17,8650.1396484375
2020-04-20,8560.73046875
2020-04-21,8263.23046875
2020-04-22,8495.3798828125
2020-04-23,8494.75
2020-04-24,8634.51953125
2020-04-27,8730.16015625
2020-04-28,8607.73046875
2020-04-29,8914.7099609375
2020-04-30,8889.5498046875
2020-05-01,8604.9501953125
2020-05-04,8710.7099609375
2020-05-05,8809.1201171875
2020-05-06,8854.3896484375
2020-05-07,8979.66015625
2020-05-08,9121.3203125
2020-05-11,9192.33984375
2020-05-12,9002.5498046875
2020-05-13,8863.169921875
2020-05-14,8943.7197265625
2020-05-15,9014.5595703125
2020-05-18,9234.830078125
2020-05-19,9185.099609375
2020-05-20,9375.7802734375
2020-05-21,9284.8798828125
2020-05-22,9324.58984375
2020-05-26,9340.2197265625
2020-05-27,9412.3603515625
2020-05-28,9368.990234375
2020-05-29,9489.8701171875
2020-06-01,9552.0498046875
2020-06-02,9608.3798828125
2020-06-03,9682.91015625
2020-06-04,9615.8095703125
2020-06-05,9814.080078125
2020-06-08,9924.75
2020-06-09,9953.75
2020-06-10,10020.349609375
2020-06-11,9492.73046875
2020-06-12,9588.8095703125
2020-06-15,9726.01953125
2020-06-16,9895.8701171875
2020-06-17,9910.5302734375
2020-06-18,9943.0498046875
2020-06-19,9946.1201171875
2020-06-22,10056.48046875
2020-06-23,10131.3701171875
2020-06-24,9909.169921875
2020-06-25,10017.0
2020-06-26,9757.2197265625
2020-06-29,9874.150390625
2020-06-30,10058.76953125
2020-07-01,10154.6298828125
2020-07-02,10207.6298828125
2020-07-06,10433.650390625
2020-07-07,10343.8896484375
2020-07-08,10492.5
2020-07-09,10547.75
2020-07-10,10617.4404296875
2020-07-13,10390.83984375
2020-07-14,10488.580078125
2020-07-15,10550.490234375
2020-07-16,10473.830078125
2020-07-17,10503.1904296875
2020-07-20,10767.08984375
2020-07-21,10680.3603515625
2020-07-22,10706.1298828125
2020-07-23,10461.419921875
2020-07-24,10363.1796875
2020-07-27,10536.26953125
2020-07-28,10402.08984375
2020-07-29,10542.9404296875
2020-07-30,10587.8095703125
2020-07-31,10745.26953125
2020-08-03,10902.7998046875
2020-08-04,10941.169921875
2020-08-05,10998.400390625
2020-08-06,11108.0703125
2020-08-07,11010.98046875
