date,value
2020-02-26,9148.3203125
2020-02-27,8904.1103515625
2020-02-28,8591.8203125
2020-03-02,8952.8095703125
2020-03-03,9070.3203125
2020-03-04,9019.9599609375
2020-03-05,8921.080078125
2020-03-06,8612.3603515625
2020-03-09,8243.3095703125
2020-03-10,8347.400390625
2020-03-11,8181.35986328125
2020-03-12,7712.330078125
2020-03-13,7875.93017578125
2020-03-16,7422.2001953125
2020-03-17,7406.22998046875
2020-03-18,7182.830078125
2020-03-19,7341.3798828125
2020-03-20,7354.43994140625
2020-03-23,6984.93994140625
2020-03-24,7418.3701171875
2020-03-25,7671.2099609375
2020-03-26,7809.830078125
2020-03-27,7716.240234375
2020-03-30,7784.35009765625
2020-03-31,7880.31005859375
2020-04-01,7566.3701171875
2020-04-02,7501.7001953125
2020-04-03,7518.72021484375
2020-04-06,7938.330078125
2020-04-07,8146.43017578125
2020-04-08,8114.43017578125
2020-04-09,8227.91015625
2020-04-13,8200.4404296875
2020-04-14,8531.1103515625
2020-04-15,8464.66015625
2020-04-16,8560.16015625
2020-04-17,8670.2998046875
2020-04-20,8684.91015625
2020-04-21,8480.2900390625
2020-04-22,8537.3095703125
2020-04-23,8635.23046875
2020-04-24,8642.9296875
2020-04-27,8754.5703125
2020-04-28,8830.5703125
2020-04-29,8957.26953125
2020-04-30,8926.1103515625
2020-05-01,8754.4599609375
2020-05-04,8715.8203125
2020-05-05,8909.9599609375
2020-05-06,8933.25
2020-05-07,9015.990234375
2020-05-08,9125.98046875
2020-05-11,9241.919921875
2020-05-12,9250.9599609375
2020-05-13,9074.16015625
2020-05-14,8945.7099609375
2020-05-15,9018.400390625
2020-05-18,9267.2197265625
2020-05-19,9317.25
2020-05-20,9392.8203125
2020-05-21,9405.25
2020-05-22,9328.2802734375
2020-05-26,9501.2099609375
2020-05-27,9414.6201171875
2020-05-28,9523.6396484375
2020-05-29,9505.5498046875
2020-06-01,9571.2802734375
2020-06-02,9611.2197265625
2020-06-03,9707.7802734375
2020-06-04,9716.1396484375
2020-06-05,9845.6904296875
2020-06-08,9927.1298828125
2020-06-09,10002.5
2020-06-10,10086.8896484375
2020-06-11,9868.080078125
2020-06-12,9768.6396484375
2020-06-15,9756.0703125
2020-06-16,9963.6298828125
2020-06-17,9991.2099609375
2020-06-18,9959.2001953125
2020-06-19,10053.91015625
2020-06-22,10059.6103515625
2020-06-23,10221.849609375
2020-06-24,10137.5
2020-06-25,10023.2802734375
2020-06-26,10000.669921875
2020-06-29,9877.33984375
2020-06-30,10085.58984375
2020-07-01,10197.1904296875
2020-07-02,10310.3603515625
2020-07-06,10462.0498046875
2020-07-07,10518.98046875
2020-07-08,10494.6298828125
2020-07-09,10578.099609375
2020-07-10,10622.349609375
2020-07-13,10824.7802734375
2020-07-14,10497.830078125
2020-07-15,10604.669921875
2020-07-16,10499.7900390625
2020-07-17,10532.6201171875
2020-07-20,10783.7998046875
2020-07-21,10839.9296875
2020-07-22,10745.3203125
2020-07-23,10728.1201171875
2020-07-24,10418.75
2020-07-27,10546.4404296875
2020-07-28,10523.6396484375
2020-07-29,10567.91015625
2020-07-30,10609.58984375
2020-07-31,10747.7998046875
2020-08-03,10927.5595703125
2020-08-04,10941.91015625
2020-08-05,11002.1103515625
2020-08-06,11121.1904296875
2020-08-07,11126.0400390625
