date,value
2020-02-26,8927.7998046875
2020-02-27,8562.0498046875
2020-02-28,8264.16015625
2020-03-02,8543.349609375
2020-03-03,8602.8896484375
2020-03-04,8757.66015625
2020-03-05,8677.3896484375
2020-03-06,8375.1298828125
2020-03-09,7943.16015625
2020-03-10,7930.43017578125
2020-03-11,7850.9501953125
2020-03-12,7194.669921875
2020-03-13,7219.08984375
2020-03-16,6882.85986328125
2020-03-17,6828.91015625
2020-03-18,6686.35986328125
2020-03-19,6858.3798828125
2020-03-20,6854.669921875
2020-03-23,6631.419921875
2020-03-24,7169.85986328125
2020-03-25,7276.39990234375
2020-03-26,7462.2099609375
2020-03-27,7491.14013671875
2020-03-30,7539.97021484375
2020-03-31,7642.85986328125
2020-04-01,7301.97998046875
2020-04-02,7307.9501953125
2020-04-03,7288.10986328125
2020-04-06,7617.7900390625
2020-04-07,7881.22021484375
2020-04-08,7901.93994140625
2020-04-09,8072.31982421875
2020-04-13,8035.9501953125
2020-04-14,8338.080078125
2020-04-15,8308.7900390625
2020-04-16,8393.26953125
2020-04-17,8531.6904296875
2020-04-20,8553.3798828125
2020-04-21,8215.6904296875
2020-04-22,8404.5400390625
2020-04-23,8475.2001953125
2020-04-24,8464.419921875
2020-04-27,8697.3701171875
2020-04-28,8600.7001953125
2020-04-29,8765.009765625
2020-04-30,8825.830078125
2020-05-01,8566.83984375
2020-05-04,8537.830078125
2020-05-05,8781.3095703125
2020-05-06,8819.3701171875
2020-05-07,8932.8603515625
2020-05-08,9018.2099609375
2020-05-11,9053.169921875
2020-05-12,9000.0703125
2020-05-13,8752.6796875
2020-05-14,8705.25
2020-05-15,8821.3798828125
2020-05-18,9154.349609375
2020-05-19,9183.25
2020-05-20,9304.2001953125
2020-05-21,9254.849609375
2020-05-22,9239.41015625
2020-05-26,9333.16015625
2020-05-27,9144.2802734375
2020-05-28,9345.2802734375
2020-05-29,9324.73046875
2020-06-01,9462.3203125
2020-06-02,9472.080078125
2020-06-03,9627.169921875
2020-06-04,9560.41015625
2020-06-05,9685.349609375
2020-06-08,9780.6103515625
2020-06-09,9863.26953125
2020-06-10,9962.580078125
2020-06-11,9491.3095703125
2020-06-12,9413.6201171875
2020-06-15,9403.0
2020-06-16,9748.3798828125
2020-06-17,9891.8095703125
2020-06-18,9885.66015625
2020-06-19,9872.9404296875
2020-06-22,9916.599609375
2020-06-23,10112.4404296875
2020-06-24,9842.2197265625
2020-06-25,9810.4697265625
2020-06-26,9749.0703125
2020-06-29,9663.6103515625
2020-06-30,9863.669921875
2020-07-01,10048.0400390625
2020-07-02,10194.0595703125
2020-07-06,10354.98046875
2020-07-07,10337.98046875
2020-07-08,10350.9599609375
2020-07-09,10379.91015625
2020-07-10,10447.009765625
2020-07-13,10368.0400390625
2020-07-14,10182.4599609375
2020-07-15,10420.5400390625
2020-07-16,10364.3896484375
2020-07-17,10421.2099609375
2020-07-20,10488.0400390625
2020-07-21,10650.4599609375
2020-07-22,10627.4501953125
2020-07-23,10407.8701171875
2020-07-24,10217.3095703125
2020-07-27,10399.8603515625
2020-07-28,10397.8701171875
2020-07-29,10464.0
2020-07-30,10412.08984375
2020-07-31,10557.7001953125
2020-08-03,10831.150390625
2020-08-04,10852.900390625
2020-08-05,10943.7197265625
2020-08-06,10963.41015625
2020-08-07,10920.3701171875
