date,value
2020-02-26,3567830000
2020-02-27,390750000
2020-02-28,5301170000
2020-03-02,4232760000
2020-03-03,4336700000
2020-03-04,3602870000
2020-03-05,3748090000
2020-03-06,4279850000
2020-03-09,4530350000
2020-03-10,4431930000
2020-03-11,4273890000
2020-03-12,5066530000
2020-03-13,4685890000
2020-03-16,4594360000
2020-03-17,4900000000
2020-03-18,4890820000
2020-03-19,4762170000
2020-03-20,5239940000
2020-03-23,4330610000
2020-03-24,4417380000
2020-03-25,4666440000
2020-03-26,3999850000
2020-03-27,3977010000
2020-03-30,3846900000
2020-03-31,4059700000
2020-04-01,3685510000
2020-04-02,3608190000
2020-04-03,3279100000
2020-04-06,3849100000
2020-04-07,4069410000
2020-04-08,3470730000
2020-04-09,4123670000
2020-04-13,3146860000
2020-04-14,3732820000
2020-04-15,3333750000
2020-04-16,3995870000
2020-04-17,4335020000
2020-04-20,3796950000
2020-04-21,3756290000
2020-04-22,3025060000
2020-04-23,3734720000
2020-04-24,3673170000
2020-04-27,3678460000
2020-04-28,3707540000
2020-04-29,4378540000
2020-04-30,4316380000
2020-05-01,3722520000
2020-05-04,3422150000
2020-05-05,3913360000
2020-05-06,3620030000
2020-05-07,3762070000
2020-05-08,3777340000
2020-05-11,3898690000
2020-05-12,4315070000
2020-05-13,4244110000
2020-05-14,3945080000
2020-05-15,4221500000
2020-05-18,4318310000
2020-05-19,4144770000
2020-05-20,4292470000
2020-05-21,3725950000
2020-05-22,3641830000
2020-05-26,4432310000
2020-05-27,4462450000
2020-05-28,4064220000
2020-05-29,423570000
2020-06-01,3824770000
2020-06-02,3962460000
2020-06-03,4638380000
2020-06-04,6074320000
2020-06-05,6572850000
2020-06-08,6143120000
2020-06-09,5281860000
2020-06-10,5128400000
2020-06-11,5271000000
2020-06-12,4366190000
2020-06-15,4440650000
2020-06-16,4639860000
2020-06-17,4249680000
2020-06-18,4294740000
2020-06-19,6068130000
2020-06-22,4468000000
2020-06-23,5712450000
2020-06-24,5549440000
2020-06-25,4709620000
2020-06-26,7279230000
2020-06-29,4306120000
2020-06-30,4474000000
2020-07-01,4595970000
2020-07-02,4017530000
2020-07-06,4529480000
2020-07-07,4314110000
2020-07-08,3999180000
2020-07-09,3992920000
2020-07-10,3509810000
2020-07-13,4822050000
2020-07-14,4419480000
2020-07-15,4610540000
2020-07-16,4237290000
2020-07-17,4334280000
2020-07-20,4274340000
2020-07-21,5311750000
2020-07-22,4074020000
2020-07-23,4469470000
2020-07-24,4205330000
2020-07-27,4209900000
2020-07-28,3869230000
2020-07-29,3970900000
2020-07-30,4135200000
2020-07-31,4418390000
2020-08-03,4173600000
2020-08-04,3973570000
2020-08-05,4119550000
2020-08-06,4086290000
2020-08-07,4230720000
